id,sample_id,primary_accent,clip,sentence,reference_translation_zh,official_direct_translation,translation,runtime_sec,audio_duration_sec,loader_used,generated_token_count,generated_token_ids,contains_literal_unk,special_unk_id_count,exactly_matches_official
sample_0090,spk_1183,England English,common_voice_en_19720454.mp3,Restoration silver is characterized by embossed motifs for tulips and naturalistic fruit and leaves.,修复银的特点是压花图案表现的郁金香和自然的水果和树叶。,修复银的特点是<unk>花和自然的水果和叶子的雕刻图案.,修复银的特点是<unk>花和自然的水果和叶子的雕刻图案.,3.121174500000002,8.352,torchaudio,27,"[3, 256016, 247661, 250064, 250328, 251004, 190724, 249506, 248402, 249371, 2105, 248948, 250120, 248582, 48240, 248016, 249614, 249155, 248582, 252337, 175574, 252685, 250991, 249914, 249649, 247676, 3]",True,0,True
sample_0221,spk_1435,England English,common_voice_en_17259609.mp3,Who is the blonde girl with the red skirt?,那个穿红裙子的金发女孩是谁?,那个穿着红色<unk>子的金发女孩是谁?,那个穿着红色<unk>子的金发女孩是谁?,1.906970042000001,3.432,torchaudio,19,"[3, 256016, 48352, 248802, 251381, 249783, 251202, 249633, 249371, 2105, 248948, 175574, 249179, 249043, 95591, 248402, 251525, 247805, 3]",True,0,True
sample_0235,spk_0391,England English,common_voice_en_541692.mp3,"When he saw Henderson in his garden, he called over the fence and made himself understood.",当他看见 Henderson 在他的花园里时，他隔着篱笆喊了一声，对方明白了他的意思。,"当他看到亨德森在他的花园,他叫过<unk>,并让自己理解.","当他看到亨德森在他的花园,他叫过<unk>,并让自己理解.",2.657028457999999,8.064,torchaudio,26,"[3, 256016, 34931, 248575, 26364, 252416, 249442, 250667, 248408, 20103, 250120, 251236, 247681, 248575, 250754, 249249, 249371, 2105, 248948, 247681, 249244, 250108, 8456, 53659, 247676, 3]",True,0,True
sample_0282,spk_0036,England English,common_voice_en_17757054.mp3,The hail pattered on the burnt brown grass.,冰雹拍打着烧焦的棕色草地。,冰雹在烧焦的棕色草地上<unk>.,冰雹在烧焦的棕色草地上<unk>.,1.8280672499999966,3.912,torchaudio,18,"[3, 256016, 247661, 251541, 255109, 248408, 252623, 251896, 248016, 253461, 249633, 250865, 214311, 249371, 2105, 248948, 247676, 3]",True,0,True
sample_0441,spk_1294,England English,common_voice_en_18080473.mp3,"Roll the dice, please.",请掷骰子。,"投<unk>子,请.","投<unk>子,请.",1.4466286249999953,2.664,torchaudio,12,"[3, 256016, 247661, 249782, 249371, 2105, 248948, 249036, 247681, 250164, 247676, 3]",True,0,True
sample_0653,spk_0825,Filipino,common_voice_en_13476.mp3,"Grime, rust and residual particles polluted the air.",尘垢、铁锈和残留的微粒污染了空气。,"污垢,<unk>和残留的粒子污染了空气.","污垢,<unk>和残留的粒子污染了空气.",2.354892458000002,6.816,torchaudio,20,"[3, 256016, 247661, 251902, 254272, 247681, 249371, 2105, 248948, 248582, 250868, 250376, 248016, 252237, 249036, 149526, 248685, 173000, 247676, 3]",True,0,True
sample_0731,spk_1497,Filipino,common_voice_en_20040334.mp3,A little scrambling is required for access.,访问需要加一些扰码。,需要一点<unk>密才能进入.,需要一点<unk>密才能进入.,1.4714583750000045,3.576,torchaudio,12,"[3, 256016, 184686, 183396, 249371, 2105, 248948, 250217, 65985, 58218, 247676, 3]",True,0,True
sample_0826,spk_1303,Filipino,common_voice_en_124012.mp3,"The Englishman prodded him, and the boy asked her about the man who cured people's illnesses.",英国人戳了他一下，男孩就问她是谁治好了人们的病。,"这位英国人<unk>了他,男孩问她关于治愈人们疾病的人.","这位英国人<unk>了他,男孩问她关于治愈人们疾病的人.",2.494818707999997,7.68,torchaudio,21,"[3, 256016, 218741, 35342, 248455, 249371, 2105, 248948, 243230, 247681, 140212, 249532, 249546, 22731, 249764, 252899, 54563, 77404, 10867, 247676, 3]",True,0,True
sample_0905,spk_1356,Filipino,common_voice_en_44721.mp3,"They walked in from the rain, all dishevelled and steaming.",他们从雨中走了进来，衣冠不整，浑身湿透。,"他们从雨中走进来, 所有的<unk>乱和蒸汽.","他们从雨中走进来, 所有的<unk>乱和蒸汽.",1.954687958000001,3.456,torchaudio,21,"[3, 256016, 33624, 249613, 251363, 248618, 250118, 249294, 249007, 247681, 247661, 73146, 249371, 2105, 248948, 251886, 248582, 252812, 250844, 247676, 3]",True,0,True
sample_0965,spk_0513,Filipino,common_voice_en_18336203.mp3,"You were looking squeamish this afternoon, he began.",他说着，你今天下午看起来很邋遢。,"他开始说,今天下午你看起来很<unk>.","他开始说,你今天下午看起来很<unk>.",1.7838649159999989,4.32,torchaudio,16,"[3, 256016, 4372, 24205, 249368, 247681, 248894, 55819, 19675, 169449, 249315, 249371, 2105, 248948, 247676, 3]",True,0,False
sample_1253,spk_1043,Hong Kong English,common_voice_en_17808893.mp3,The cleat sank deeply into the soft turf.,桩子深深地沉入软草地里。,草<unk>沉入了柔软的草地.,草<unk>沉入了柔软的草地.,1.7662140420000014,3.696,torchaudio,17,"[3, 256016, 247661, 250865, 249371, 2105, 248948, 252006, 249141, 248685, 252478, 250881, 248016, 250865, 248873, 247676, 3]",True,0,True
sample_1265,spk_1314,Hong Kong English,common_voice_en_558075.mp3,My shampoo is made from coconut and sweet almond.,我的洗发水由椰子和甜杏仁制成。,我的洗发水是用<unk>子和甜杏仁制成的,我的洗发水是用<unk>子和甜杏仁制成的,1.9687007499999964,3.72,torchaudio,20,"[3, 256016, 87003, 251342, 249043, 249614, 248402, 248801, 249371, 2105, 248948, 249036, 248582, 252339, 253037, 252468, 249344, 248839, 248016, 3]",True,0,True
sample_1383,spk_1043,Hong Kong English,common_voice_en_17782198.mp3,"If you want a sandwich, don't hesitate grabbing one.",如果你想要一个三明治，不要犹豫，抓住一个。,"如果你想要一个三明治,不要犹<unk>抓住一个.","如果你想要一个三明治,不要犹<unk>抓住一个.",1.797784583000002,3.144,torchaudio,19,"[3, 256016, 50525, 44723, 5085, 249271, 249355, 249764, 247681, 56399, 252423, 249371, 2105, 248948, 252438, 249791, 5085, 247676, 3]",True,0,True
sample_1555,spk_1218,Hong Kong English,common_voice_en_189557.mp3,I bet you forgot the wine!,我打赌你忘了酒！,我敢打<unk>你忘了葡萄酒!,我敢打<unk>你忘了葡萄酒!,1.471350583000003,1.896,torchaudio,15,"[3, 256016, 3742, 252196, 249564, 249371, 2105, 248948, 248894, 251376, 248685, 95091, 250249, 248054, 3]",True,0,True
sample_1731,spk_0294,Hong Kong English,common_voice_en_100351.mp3,My roommate’s boyfriend is taking up two shelves of fridge space with his beer.,我室友的男朋友的啤酒占据了冰箱的两格空间。,我室友的男朋友用他的<unk>酒占据了冰箱的两个架子.,我室友的男朋友用他的<unk>酒占据了两个冰箱的空间.,2.379857000000001,6.552,torchaudio,24,"[3, 256016, 3742, 250159, 249950, 248016, 249824, 36947, 248801, 20103, 249371, 2105, 248948, 250249, 250781, 249693, 248685, 46043, 251541, 251460, 248016, 74978, 247676, 3]",True,0,False
sample_1864,spk_0256,"India and South Asia (India, Pakistan, Sri Lanka)",common_voice_en_17375818.mp3,"The diver forced open the oyster, revealing a shimmering pearl.",潜水员强行打开牡蛎，露出一颗闪闪发光的珍珠。,"这位潜水员强行打开了<unk>,发现了一颗闪闪发光的珍珠.","这位潜水员强行打开了<unk>,发现了一颗闪闪发光的珍珠.",2.317806165999997,5.064,torchaudio,26,"[3, 256016, 218741, 251550, 249614, 249189, 249968, 248719, 205782, 248685, 249371, 2105, 248948, 247681, 37034, 25497, 252810, 253222, 253222, 249043, 250004, 248016, 251947, 252052, 247676, 3]",True,0,True
sample_2041,spk_1573,"India and South Asia (India, Pakistan, Sri Lanka)",common_voice_en_19810915.mp3,The band's sound is distinctive due to the powerful vocals of singer Sonia Pineault.,乐队的声音因歌手 Sonia Pineault 的强劲嗓音而与众不同。,"乐队的声音是独特的,因为歌手索尼<unk>·皮内尔的强大声乐.","乐队的声音是独特的,因为歌手索尼<unk>·皮内尔的强大声乐.",2.541536375000007,5.904,torchaudio,28,"[3, 256016, 247661, 140970, 248016, 155835, 248402, 250482, 159254, 247681, 18551, 53894, 250477, 249814, 249371, 2105, 248948, 248990, 250942, 249438, 249683, 248016, 249968, 248599, 250549, 249734, 247676, 3]",True,0,True
