row_index,primary_accent,sample_id,sentence,reference_translation_zh,direct_translation,direct_unk_count,reference_tokenizer_unk_count,reference_tokens
1,England English,spk_1385,"However, after persistent calls, Hall-Jones reluctantly accepted despite having no parliamentary ambitions.",然而，经过不断的电话，Hall-Jones 还是不情愿地接受了，尽管他在议会里毫无野心。,"然而,在持续的呼叫之后,霍尔-<unk>斯不情愿地接受了,尽管没有议会野心.",1,1,"['▁然而', ',', '经过', '不断', '的', '电话', ',', 'H', 'all', '-', 'J', 'ones', '▁', '还是', '不', '情', '愿', '地', '接受', '了', ',', '尽管', '他在', '议会', '里', '毫无', '野', '心', '<unk>', '<pad>']"
25,England English,spk_1516,He stood irresolute for a moment and then scrambled out of the pit.,他犹豫不决地站了一会儿，然后从坑里爬了出来。,"他站不住了一会儿,然后<unk>出坑.",1,1,"['▁他', '犹', '豫', '不', '决', '地', '站', '了一', '会', '儿', ',', '然后', '从', '坑', '里', '爬', '了', '出来', '<unk>', '<pad>']"
30,England English,spk_1122,The river is tidal when it passes through Dargaville.,这条河流经达格维尔时会涨潮。,"当河流经过达尔加维尔时, 河流是潮<unk>的.",1,1,"['▁这', '条', '河', '流', '经', '达', '格', '维', '尔', '时', '会', '涨', '潮', '<unk>']"
45,England English,spk_0383,The matter of the overall pennant was apparently never decided.,至于整面旗帜的问题，显然还没有决定。,整体旗<unk>的问题显然从来没有决定过.,1,1,"['▁至', '于', '整', '面', '旗', '帜', '的问题', ',', '显然', '还没有', '决定', '<unk>']"
76,England English,spk_0859,Stark naked. Under bare poles. In puris naturalibus.,一丝不挂。光着身子。赤裸。,"在裸体,裸体<unk>下,在""自然纯粹""中.",1,3,"['▁一', '丝', '不', '挂', '<unk>', '光', '着', '身', '子', '<unk>', '赤', '裸', '<unk>', '<pad>']"
85,England English,spk_0996,"Another reason why Apple is superior to Microsoft, the troll posted and grabbed some popcorn for the subsequent flame war.",“苹果优于微软的另一个原因”，网络喷子为随后的网络争论战，准备了爆米花。,"""<unk>果优于微软的另一个原因"", 巨人发布并抓住了一些爆米花为随后的火焰战争.",1,3,"['▁', '<unk>', '苹果', '优', '于', '微', '软', '的', '另一个', '原因', '<unk>', ',', '网络', '喷', '子', '为', '随', '后的', '网络', '争', '论', '战', ',', '准备', '了', '爆', '米', '花', '<unk>', '<pad>']"
88,England English,spk_0010,"Zora, can you teach me how to yodel?",Zora，你能教我约德尔唱法吗？,"佐拉,你能教我如何<unk>吗?",1,0,"['▁Z', 'ora', ',', '你', '能', '教', '我', '约', '德', '尔', '唱', '法', '吗', '?']"
89,England English,spk_1183,Restoration silver is characterized by embossed motifs for tulips and naturalistic fruit and leaves.,修复银的特点是压花图案表现的郁金香和自然的水果和树叶。,修复银的特点是<unk>花和自然的水果和叶子的雕刻图案.,1,1,"['▁', '修', '复', '银', '的特', '点', '是', '压', '花', '图', '案', '表现', '的', '郁', '金', '香', '和', '自然', '的', '水', '果', '和', '树', '叶', '<unk>', '<pad>']"
113,England English,spk_1149,I have blisters on my hands because I was bouldering yesterday.,我手上起了水泡，因为我昨天抱石了。,"我手上有水泡,因为我昨天在<unk>岩.",1,1,"['▁我', '手', '上', '起', '了', '水', '泡', ',', '因为', '我', '昨', '天', '抱', '石', '了', '<unk>']"
124,England English,spk_1097,Where did you find that apple?,你在哪里找到那个苹果的？,你在哪里找到那个<unk>果?,1,0,"['▁你', '在', '哪里', '找到', '那个', '苹果', '的', '?']"
