id,primary_accent,sentence,reference_translation_zh,official_direct_translation,baseline_translation,baseline_has_literal_unk,baseline_runtime_sec,blocked_translation,blocked_has_literal_unk,blocked_runtime_sec,translation_changed,literal_unk_removed
sample_0090,England English,Restoration silver is characterized by embossed motifs for tulips and naturalistic fruit and leaves.,修复银的特点是压花图案表现的郁金香和自然的水果和树叶。,修复银的特点是<unk>花和自然的水果和叶子的雕刻图案.,修复银的特点是<unk>花和自然的水果和叶子的雕刻图案.,True,3.121174500000002,修复银的特点是<unk > 郁金香和自然的水果和叶子的雕刻图案.,False,2.9557023750000013,True,True
sample_0221,England English,Who is the blonde girl with the red skirt?,那个穿红裙子的金发女孩是谁?,那个穿着红色<unk>子的金发女孩是谁?,那个穿着红色<unk>子的金发女孩是谁?,True,1.906970042000001,那个穿着红色<unk > 裙子的金发女孩是谁?,False,2.108646292000003,True,True
sample_0235,England English,"When he saw Henderson in his garden, he called over the fence and made himself understood.",当他看见 Henderson 在他的花园里时，他隔着篱笆喊了一声，对方明白了他的意思。,"当他看到亨德森在他的花园,他叫过<unk>,并让自己理解.","当他看到亨德森在他的花园,他叫过<unk>,并让自己理解.",True,2.657028457999999,"当他看到亨德森在他的花园,他叫过<unk > 围<unk > 和让自己理解.",False,3.320017582999995,True,True
sample_0282,England English,The hail pattered on the burnt brown grass.,冰雹拍打着烧焦的棕色草地。,冰雹在烧焦的棕色草地上<unk>.,冰雹在烧焦的棕色草地上<unk>.,True,1.8280672499999966,冰雹在烧焦的棕色草地上<unk >.,False,2.069323208,True,True
sample_0441,England English,"Roll the dice, please.",请掷骰子。,"投<unk>子,请.","投<unk>子,请.",True,1.4466286249999953,"投<unk >,请.",False,1.496498416999998,True,True
sample_0653,Filipino,"Grime, rust and residual particles polluted the air.",尘垢、铁锈和残留的微粒污染了空气。,"污垢,<unk>和残留的粒子污染了空气.","污垢,<unk>和残留的粒子污染了空气.",True,2.354892458000002,"污垢,<unk >和残留的粒子污染了空气.",False,2.2748821249999907,True,True
sample_0731,Filipino,A little scrambling is required for access.,访问需要加一些扰码。,需要一点<unk>密才能进入.,需要一点<unk>密才能进入.,True,1.4714583750000045,需要一点<unk > 浏览才能访问.,False,1.5672995420000007,True,True
sample_0826,Filipino,"The Englishman prodded him, and the boy asked her about the man who cured people's illnesses.",英国人戳了他一下，男孩就问她是谁治好了人们的病。,"这位英国人<unk>了他,男孩问她关于治愈人们疾病的人.","这位英国人<unk>了他,男孩问她关于治愈人们疾病的人.",True,2.494818707999997,"这位英国人<unk > 了他,男孩问她关于治愈人们疾病的人.",False,2.400664582999994,True,True
sample_0905,Filipino,"They walked in from the rain, all dishevelled and steaming.",他们从雨中走了进来，衣冠不整，浑身湿透。,"他们从雨中走进来, 所有的<unk>乱和蒸汽.","他们从雨中走进来, 所有的<unk>乱和蒸汽.",True,1.954687958000001,"他们从雨中走进来, 所有的<unk > 乱和蒸汽.",False,2.085027709000002,True,True
sample_0965,Filipino,"You were looking squeamish this afternoon, he began.",他说着，你今天下午看起来很邋遢。,"他开始说,今天下午你看起来很<unk>.","他开始说,你今天下午看起来很<unk>.",True,1.7838649159999989,"他开始说,你今天下午看起来很<unk >.",False,1.6978938329999949,True,True
