id,baseline_translation,baseline_has_unk,blocked_translation,blocked_has_unk,unk_removed,sentence,reference_translation_zh,primary_accent
sample_0090,修复银的特点是<unk>花和自然的水果和叶子的雕刻图案.,True,修复银的特点是<unk>花和自然的水果和叶子的雕刻图案.,True,False,Restoration silver is characterized by embossed motifs for tulips and naturalistic fruit and leaves.,修复银的特点是压花图案表现的郁金香和自然的水果和树叶。,England English
sample_0221,那个穿着红色<unk>子的金发女孩是谁?,True,那个穿着红色<unk>子的金发女孩是谁?,True,False,Who is the blonde girl with the red skirt?,那个穿红裙子的金发女孩是谁?,England English
sample_0235,"当他看到亨德森在他的花园,他叫过<unk>,并让自己理解.",True,"当他看到亨德森在他的花园,他叫过<unk>,并让自己理解.",True,False,"When he saw Henderson in his garden, he called over the fence and made himself understood.",当他看见 Henderson 在他的花园里时，他隔着篱笆喊了一声，对方明白了他的意思。,England English
sample_0282,冰雹在烧焦的棕色草地上<unk>.,True,冰雹在烧焦的棕色草地上<unk>.,True,False,The hail pattered on the burnt brown grass.,冰雹拍打着烧焦的棕色草地。,England English
sample_0441,"投<unk>子,请.",True,"投<unk>子,请.",True,False,"Roll the dice, please.",请掷骰子。,England English
sample_0653,"污垢,<unk>和残留的粒子污染了空气.",True,"污垢,<unk>和残留的粒子污染了空气.",True,False,"Grime, rust and residual particles polluted the air.",尘垢、铁锈和残留的微粒污染了空气。,Filipino
sample_0731,需要一点<unk>密才能进入.,True,需要一点<unk>密才能进入.,True,False,A little scrambling is required for access.,访问需要加一些扰码。,Filipino
sample_0826,"这位英国人<unk>了他,男孩问她关于治愈人们疾病的人.",True,"这位英国人<unk>了他,男孩问她关于治愈人们疾病的人.",True,False,"The Englishman prodded him, and the boy asked her about the man who cured people's illnesses.",英国人戳了他一下，男孩就问她是谁治好了人们的病。,Filipino
sample_0905,"他们从雨中走进来, 所有的<unk>乱和蒸汽.",True,"他们从雨中走进来, 所有的<unk>乱和蒸汽.",True,False,"They walked in from the rain, all dishevelled and steaming.",他们从雨中走了进来，衣冠不整，浑身湿透。,Filipino
sample_0965,"他开始说,你今天下午看起来很<unk>.",True,"他开始说,你今天下午看起来很<unk>.",True,False,"You were looking squeamish this afternoon, he began.",他说着，你今天下午看起来很邋遢。,Filipino
